# v  min_costs  min_comp_costs  heft_makespan  cpop_makespan  heft_slr  cpop_slr  speedup_heft  speedup_cpop
100  140  1278  472  473  3.37  3.38  2.71  2.7
100  230  1272  439  709  1.91  3.08  2.9  1.79
40  81  263  91  143  1.12  1.77  2.89  1.84
60  132  732  274  333  2.08  2.52  2.67  2.2
80  101  718  281  298  2.78  2.95  2.56  2.41
80  102  471  178  255  1.75  2.5  2.65  1.85
80  122  875  321  391  2.63  3.2  2.73  2.24
20  74  139  84  82  1.14  1.11  1.65  1.7
80  184  1299  496  574  2.7  3.12  2.62  2.26
100  346  1469  571  830  1.65  2.4  2.57  1.77
60  199  940  384  463  1.93  2.33  2.45  2.03
60  186  785  332  393  1.78  2.11  2.36  2.0
60  222  1143  427  576  1.92  2.59  2.68  1.98
40  258  806  381  498  1.48  1.93  2.12  1.62
80  88  738  310  301  3.52  3.42  2.38  2.45
40  149  684  380  342  2.55  2.3  1.8  2.0
40  216  562  295  394  1.37  1.82  1.91  1.43
40  76  454  199  193  2.62  2.54  2.28  2.35
20  122  389  160  194  1.31  1.59  2.43  2.01
20  68  127  70  68  1.03  1.0  1.81  1.87
40  174  611  238  308  1.37  1.77  2.57  1.98
60  298  1033  467  539  1.57  1.81  2.21  1.92
20  102  283  147  160  1.44  1.57  1.93  1.77
80  89  505  177  219  1.99  2.46  2.85  2.31
60  214  889  329  411  1.54  1.92  2.7  2.16
40  245  721  320  438  1.31  1.79  2.25  1.65
60  232  838  359  421  1.55  1.81  2.33  1.99
20  115  226  137  150  1.19  1.3  1.65  1.51
80  395  1614  675  918  1.71  2.32  2.39  1.76
20  76  353  169  168  2.22  2.21  2.09  2.1
40  278  708  412  439  1.48  1.58  1.72  1.61
100  60  891  292  365  4.87  6.08  3.05  2.44
20  33  134  70  67  2.12  2.03  1.91  2.0
80  83  793  318  368  3.83  4.43  2.49  2.15
80  438  1575  722  943  1.65  2.15  2.18  1.67
20  147  364  226  255  1.54  1.73  1.61  1.43
20  138  333  236  195  1.71  1.41  1.41  1.71
40  111  559  283  286  2.55  2.58  1.98  1.95
20  42  121  72  70  1.71  1.67  1.68  1.73
80  74  679  246  258  3.32  3.49  2.76  2.63
100  170  1158  428  657  2.52  3.86  2.71  1.76
20  80  279  181  161  2.26  2.01  1.54  1.73
40  111  274  135  168  1.22  1.51  2.03  1.63
40  141  584  333  341  2.36  2.42  1.75  1.71
100  247  2036  1058  1070  4.28  4.33  1.92  1.9
